,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,Season
271,Khalil Shakir,BUF,WR,22,7,1,0,0,0,0,0,0,0,N/A,0,15,7,118,16.86,1,0,0,1,N/A,N/A,18,24.8,27.8,21.3,N/A,114,N/A,2022
272,Logan Thomas,WAS,TE,31,7,6,0,0,0,0,0,0,0,N/A,0,27,15,118,7.87,1,0,0,1,N/A,N/A,18,32.8,35.8,25.3,N/A,44,N/A,2022
273,Adam Trautman,NOR,TE,25,8,7,0,0,0,0,0,0,0,N/A,0,12,10,116,11.60,1,0,0,1,N/A,N/A,18,27.6,30.6,22.6,N/A,45,N/A,2022
274,Ashton Dulin,IND,WR,25,6,2,0,0,0,0,0,1,3,3.00,0,18,12,168,14.00,0,0,0,0,N/A,N/A,17,29.1,32.1,23.1,N/A,117,N/A,2022
275,Ross Dwelley,SFO,TE,27,9,0,0,0,0,0,0,0,0,N/A,0,5,3,105,35.00,1,0,0,1,N/A,N/A,17,19.5,22.5,18.0,N/A,46,N/A,2022
276,Kendall Hinton,DEN,WR,25,7,2,0,0,0,0,0,0,0,N/A,0,12,10,170,17.00,0,0,0,0,N/A,N/A,17,27.0,30.0,22.0,N/A,118,N/A,2022
277,Zach Pascal,PHI,WR,28,9,1,0,0,0,0,0,1,0,0.00,0,12,10,114,11.40,1,0,0,1,N/A,N/A,17,27.4,30.4,22.4,N/A,115,N/A,2022
278,Hunter Renfrow,LVR,WR,27,6,1,0,0,0,0,0,0,0,N/A,0,29,21,192,9.14,0,3,1,0,N/A,N/A,17,38.2,42.2,27.7,N/A,116,N/A,2022
279,Darrel Williams,ARI,RB,27,6,0,0,0,0,0,0,21,102,4.86,1,8,4,9,2.25,0,0,0,1,N/A,N/A,17,21.1,24.1,19.1,N/A,74,N/A,2022
280,DJ Chark,DET,WR,26,3,3,0,0,0,0,0,0,0,N/A,0,18,7,98,14.00,1,0,0,1,N/A,N/A,16,22.8,22.8,19.3,N/A,119,N/A,2022
281,Chuba Hubbard,CAR,RB,23,8,1,0,0,0,0,0,20,111,5.55,1,4,3,11,3.67,0,1,1,1,N/A,N/A,16,19.2,23.2,17.7,N/A,75,N/A,2022
282,Sony Michel,LAC,RB,27,9,0,0,0,0,0,0,35,105,3.00,0,13,9,53,5.89,0,0,0,0,N/A,N/A,16,24.8,27.8,20.3,N/A,76,N/A,2022
283,Eric Saubert,DEN,TE,28,9,2,0,0,0,0,0,0,0,N/A,0,15,8,95,11.88,1,0,0,1,N/A,N/A,16,23.5,23.5,19.5,N/A,47,N/A,2022
284,Brandon Bolden,LVR,RB,32,8,0,0,0,0,0,0,8,34,4.25,0,8,8,53,6.63,1,0,0,1,N/A,N/A,15,22.7,22.7,18.7,N/A,77,N/A,2022
285,Matt Breida,NYG,RB,27,9,0,0,0,0,0,0,29,93,3.21,0,8,6,54,9.00,0,0,0,0,N/A,N/A,15,20.7,20.7,17.7,N/A,78,N/A,2022
286,A.J. Green,ARI,WR,34,8,4,0,0,0,0,0,0,0,N/A,0,25,12,66,5.50,1,0,0,1,1,N/A,15,26.6,26.6,20.6,N/A,120,N/A,2022
287,Peyton Hendershot,DAL,TE,23,9,1,0,0,0,0,0,0,0,N/A,0,13,9,85,9.44,1,1,0,1,N/A,N/A,15,23.5,23.5,19.0,N/A,50,N/A,2022
288,Jonnu Smith,NWE,TE,27,8,4,0,0,0,0,0,0,0,N/A,0,23,16,154,9.63,0,0,0,0,N/A,N/A,15,31.4,34.4,23.4,N/A,48,N/A,2022
289,Brock Wright,DET,TE,24,9,4,0,0,0,0,0,0,0,N/A,0,8,7,90,12.86,1,0,0,1,N/A,N/A,15,22.0,22.0,18.5,N/A,49,N/A,2022
290,Raheem Blackshear,CAR,RB,23,6,1,0,0,0,0,0,15,41,2.73,1,4,4,40,10.00,0,0,0,1,N/A,N/A,14,18.1,18.1,16.1,N/A,80,N/A,2022
291,Mike Boone,DEN,RB,27,7,0,0,0,0,0,0,15,82,5.47,0,12,6,61,10.17,0,0,0,0,N/A,N/A,14,20.3,20.3,17.3,N/A,79,N/A,2022
292,Sam Ehlinger,IND,QB,24,2,2,32,52,304,0,1,11,54,4.91,0,0,0,0,N/A,0,1,1,0,N/A,N/A,14,13.6,18.6,14.6,N/A,42,N/A,2022
293,Justin Jackson,DET,RB,26,9,0,0,0,0,0,0,16,60,3.75,0,6,4,18,4.50,1,0,0,1,N/A,N/A,14,17.8,17.8,15.8,N/A,81,N/A,2022
294,Richie James,NYG,WR,27,9,1,0,0,0,0,0,2,6,3.00,0,26,20,191,9.55,0,3,3,0,N/A,N/A,14,33.7,39.7,23.7,N/A,122,N/A,2022
295,Colt McCoy,ARI,QB,36,1,1,26,37,238,1,0,4,4,1.00,0,0,0,0,N/A,0,1,0,0,N/A,N/A,14,13.9,13.9,13.9,N/A,41,N/A,2022
296,Johnny Mundt,MIN,TE,28,9,6,0,0,0,0,0,0,0,N/A,0,15,13,77,5.92,1,0,0,1,N/A,N/A,14,26.7,26.7,20.2,N/A,51,N/A,2022
