,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,Season
315,Alex Smith,CLE,TE,29,14,4,0,0,0,0,0,0,0,N/A,0,25,14,131,9.36,1,0,N/A,1,N/A,N/A,19,33.1,36.1,26.1,N/A,47,N/A,2011
316,Ronnie Brown,PHI,RB,30,16,2,0,0,0,0,0,42,136,3.24,1,2,0,0,N/A,0,1,1,1,N/A,N/A,18,17.6,21.6,17.6,N/A,96,N/A,2011
317,Braylon Edwards,SFO,WR,28,9,5,0,0,0,0,0,0,0,N/A,0,34,15,181,12.07,0,0,N/A,0,N/A,N/A,18,33.1,36.1,25.6,N/A,125,N/A,2011
318,Leonard Hankerson,WAS,WR,22,4,2,0,0,0,0,0,0,0,N/A,0,20,13,163,12.54,0,0,N/A,0,1,N/A,18,31.3,34.3,24.8,N/A,124,N/A,2011
319,Alfonso Smith,ARI,RB,24,15,0,0,0,0,0,0,30,102,3.40,1,5,3,21,7.00,0,0,N/A,1,N/A,N/A,18,21.3,24.3,19.8,N/A,95,N/A,2011
320,Steve Smith,PHI,WR,26,9,1,0,0,0,0,0,0,0,N/A,0,20,11,124,11.27,1,1,N/A,1,N/A,N/A,18,29.4,32.4,23.9,N/A,123,N/A,2011
321,Jesse Holley,DAL,WR,27,16,0,0,0,0,0,0,0,0,N/A,0,7,7,169,24.14,0,0,N/A,0,N/A,N/A,17,23.9,26.9,20.4,N/A,127,N/A,2011
322,Ricardo Lockette,SEA,WR,25,2,0,0,0,0,0,0,0,0,N/A,0,4,2,105,52.50,1,0,N/A,1,N/A,N/A,17,18.5,21.5,17.5,N/A,128,N/A,2011
323,Derrick Mason,2TM,WR,37,12,2,0,0,0,0,0,0,0,N/A,0,35,19,170,8.95,0,0,N/A,0,N/A,N/A,17,36.0,39.0,26.5,N/A,126,N/A,2011
324,Matt Spaeth,CHI,TE,28,15,8,0,0,0,0,0,0,0,N/A,0,11,7,50,7.14,2,0,N/A,2,N/A,N/A,17,24.0,24.0,20.5,N/A,48,N/A,2011
325,John Phillips,DAL,TE,24,16,7,0,0,0,0,0,0,0,N/A,0,18,15,101,6.73,1,0,N/A,1,N/A,N/A,16,31.1,34.1,23.6,N/A,49,N/A,2011
326,Phillip Tanner,DAL,RB,23,9,0,0,0,0,0,0,22,76,3.45,1,2,2,19,9.50,0,0,N/A,1,N/A,N/A,16,17.5,17.5,16.5,N/A,97,N/A,2011
327,Patrick Turner,NYJ,WR,24,15,1,0,0,0,0,0,0,0,N/A,0,15,8,96,12.00,1,0,N/A,1,N/A,N/A,16,23.6,23.6,19.6,N/A,129,N/A,2011
328,Travis Beckum,NYG,TE,24,13,0,0,0,0,0,0,0,0,N/A,0,10,5,93,18.60,1,0,N/A,1,N/A,N/A,15,20.3,20.3,17.8,N/A,50,N/A,2011
329,Lex Hilliard,MIA,RB,27,16,4,0,0,0,0,0,16,41,2.56,1,7,5,49,9.80,0,0,N/A,1,N/A,N/A,15,20.0,20.0,17.5,N/A,99,N/A,2011
330,Bryant Johnson,HOU,WR,30,16,0,0,0,0,0,0,1,1,1.00,0,12,6,90,15.00,1,0,N/A,1,N/A,N/A,15,21.1,21.1,18.1,N/A,130,N/A,2011
331,David Johnson,PIT,TE,24,16,16,0,0,0,0,0,0,0,N/A,0,14,12,91,7.58,1,0,N/A,1,N/A,N/A,15,27.1,27.1,21.1,N/A,51,N/A,2011
332,Josh Johnson,TAM,QB,25,9,1,19,36,246,1,2,11,67,6.09,0,2,0,0,N/A,0,1,1,0,N/A,N/A,15,14.5,17.5,16.5,N/A,52,N/A,2011
333,Anthony McCoy,SEA,TE,24,16,9,0,0,0,0,0,0,0,N/A,0,24,13,146,11.23,0,0,N/A,0,N/A,N/A,15,27.6,30.6,21.1,N/A,53,N/A,2011
334,Bruce Miller,SFO,RB,24,15,8,0,0,0,0,0,4,8,2.00,0,15,11,83,7.55,1,1,N/A,1,N/A,N/A,15,26.1,26.1,20.6,N/A,98,N/A,2011
335,Ovie Mughelli,ATL,RB,31,7,5,0,0,0,0,0,2,1,0.50,0,8,4,25,6.25,2,0,N/A,2,N/A,N/A,15,18.6,18.6,16.6,N/A,101,N/A,2011
336,Brandon Myers,OAK,TE,26,16,7,0,0,0,0,0,0,0,N/A,0,27,16,151,9.44,0,0,N/A,0,N/A,N/A,15,31.1,34.1,23.1,N/A,52,N/A,2011
337,Kevin Ogletree,DAL,WR,24,14,1,0,0,0,0,0,2,3,1.50,0,26,15,164,10.93,0,1,1,0,N/A,N/A,15,29.7,33.7,22.2,N/A,132,N/A,2011
338,Steve Slaton,2TM,RB,25,6,0,0,0,0,0,0,24,84,3.50,1,4,3,3,1.00,0,0,N/A,1,N/A,N/A,15,17.7,17.7,16.2,N/A,100,N/A,2011
339,Mike Sims-Walker,2TM,WR,27,6,4,0,0,0,0,0,0,0,N/A,0,33,12,150,12.50,0,0,N/A,0,N/A,N/A,15,27.0,30.0,21.0,N/A,131,N/A,2011
340,David Anderson,2TM,WR,28,6,0,0,0,0,0,0,0,0,N/A,0,16,7,79,11.29,1,0,N/A,1,N/A,N/A,14,20.9,20.9,17.4,N/A,133,N/A,2011
341,Martellus Bennett,DAL,TE,24,14,7,0,0,0,0,0,0,0,N/A,0,26,17,144,8.47,0,0,N/A,0,N/A,N/A,14,31.4,34.4,22.9,N/A,54,N/A,2011
342,Jeremiah Johnson,DEN,RB,24,8,0,0,0,0,0,0,14,77,5.50,0,9,7,62,8.86,0,0,N/A,0,N/A,N/A,14,20.9,20.9,17.4,N/A,102,N/A,2011
